# ZScaler Web Proxy Log — generated sample
# Fields: timestamp|username|src_ip|dst_url|category|action|bytes_sent|bytes_received|method|response_code|user_agent|threat_name|duration_ms
2024-06-10 02:15:00|jsmith@corp.com|192.168.1.10|https://mega.nz/folder/xyzxyz|File Sharing|Allowed|4096|1048576|GET|200|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36||3400
2024-06-10 08:00:53|lchen@corp.com|192.168.1.113|https://stackoverflow.com/repo|Software/Technology|Allowed|305|14012|GET|404|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36||449
2024-06-10 08:02:06|jsmith@corp.com|192.168.5.154|https://jira.atlassian.com/repo|Software/Technology|Allowed|2638|28368|GET|304|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36||787
2024-06-10 08:02:17|jsmith@corp.com|192.168.4.126|https://docker.com/api/data|Reference and Research|Allowed|1660|11061|POST|200|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36||320
2024-06-10 08:03:12|jsmith@corp.com|192.168.5.31|https://zoom.us/page|Health|Allowed|1584|32611|POST|200|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36||75
2024-06-10 08:03:18|amartinez@corp.com|192.168.5.41|https://pypi.org/api/data|Financial Services|Allowed|2743|8645|GET|200|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36||411
2024-06-10 08:04:05|bwilson@corp.com|192.168.2.181|https://aws.amazon.com/api/data|Shopping|Allowed|390|44985|GET|200|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36||243
2024-06-10 08:04:53|bwilson@corp.com|192.168.5.180|https://zoom.us/page|Software/Technology|Allowed|570|59061|GET|301|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36||345
2024-06-10 08:05:04|lchen@corp.com|192.168.2.194|https://zoom.us/repo|Reference and Research|Allowed|4388|38036|GET|404|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36||442
2024-06-10 08:05:26|amartinez@corp.com|192.168.1.23|https://aws.amazon.com/api/data|Software/Technology|Allowed|2377|78089|GET|200|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36||153
2024-06-10 08:07:46|lchen@corp.com|192.168.2.38|https://kubernetes.io/docs|Reference and Research|Allowed|2983|66088|GET|404|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36||641
2024-06-10 08:09:52|jsmith@corp.com|192.168.5.161|https://docker.com/repo|Reference and Research|Allowed|1378|65834|GET|301|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36||556
2024-06-10 08:09:57|kpatel@corp.com|192.168.1.20|https://slack.com/repo|Financial Services|Allowed|3263|52673|GET|200|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36||587
